-0.47417,-0.72996,-2.4797,3.014,-2.1158,-0.21104,-1.8421
-0.47471,-0.75423,-2.4244,2.9582,-2.1113,-0.21932,-1.834
-0.47542,-0.7351,-2.3868,2.8623,-2.1027,-0.22742,-1.8259
-0.47685,-0.73945,-2.3521,2.7661,-2.0934,-0.23533,-1.8179
-0.47866,-0.39525,-2.3275,2.6559,-2.0821,-0.24306,-1.8098
-0.48067,-0.35846,-2.2788,2.5277,-2.0671,-0.2506,-1.8017
-0.48287,-0.37752,-2.2433,2.3872,-2.0495,-0.25795,-1.7936
-0.48512,-0.0035296,-2.2206,2.2413,-2.0326,-0.26512,-1.7856
-0.48748,0.0040678,-2.205,2.0885,-2.0156,-0.2721,-1.7775
-0.48999,0.38361,-2.1794,1.9323,-1.99,-0.2789,-1.7694
-0.4926,0.0027982,-2.1527,1.7722,-1.9628,-0.28552,-1.7614
-0.49523,-0.00027244,-2.1287,1.6023,-1.9465,-0.29195,-1.7533
-0.49793,0.35263,-2.1064,1.4304,-1.934,-0.2982,-1.7452
-0.50066,0.37578,-2.0891,1.2579,-1.9203,-0.30426,-1.7371
-0.50346,0.35331,-2.0744,1.0921,-1.9072,-0.31014,-1.7291
-0.50641,0.37393,-2.0604,0.93838,-1.8938,-0.31584,-1.721
-0.50942,0.3537,-2.0475,0.80223,-1.8811,-0.32136,-1.7129
-0.51251,0.34478,-2.0335,0.69238,-1.8675,-0.3267,-1.7048
-0.51562,-0.040857,-2.0188,0.61009,-1.8544,-0.33186,-1.6968
-0.51857,-0.0072938,-2.009,0.56176,-1.8461,-0.33683,-1.6887
-0.52147,-0.02765,-1.9971,0.54431,-1.8388,-0.34163,-1.6806
-0.52438,0.73504,-1.9812,0.57028,-1.8324,-0.34625,-1.6726
-0.5273,0.72189,-1.958,0.62438,-1.8284,-0.35069,-1.6645
-0.53027,0.76176,-1.9163,0.70328,-1.8091,-0.35495,-1.6564
-0.53326,0.76248,-1.9171,0.79677,-1.7995,-0.35903,-1.6484
-0.53627,0.7361,-1.8715,0.88883,-1.7962,-0.36294,-1.6403
-0.5393,0.75077,-1.9006,0.98021,-1.7694,-0.36667,-1.6323
-0.54241,0.36992,-1.8956,1.0635,-1.7486,-0.37022,-1.6242
-0.54557,0.36169,-1.8951,1.139,-1.7256,-0.3736,-1.6161
-0.54877,0.35506,-1.8828,1.203,-1.7143,-0.3768,-1.6081
-0.55199,-0.012403,-1.8733,1.2578,-1.7065,-0.37983,-1.6
-0.55522,-0.03909,-1.8665,1.2954,-1.6922,-0.38269,-1.592
-0.55847,-0.022536,-1.861,1.3227,-1.6769,-0.38537,-1.5839
-0.56175,-0.033583,-1.9123,1.3524,-1.6652,-0.38788,-1.5759
-0.56505,-0.049992,-1.9487,1.3767,-1.6549,-0.39022,-1.5678
-0.5684,-0.032578,-1.9762,1.3938,-1.6446,-0.39239,-1.5598
-0.57178,-0.051553,-1.9936,1.4018,-1.635,-0.39439,-1.5517
-0.57518,-0.059405,-1.9711,1.3979,-1.6273,-0.39622,-1.5437
-0.57859,-0.43472,-1.9452,1.3827,-1.6206,-0.39787,-1.5356
-0.58206,-0.42674,-1.9211,1.3502,-1.6122,-0.39936,-1.5276
-0.58555,-0.071699,-1.8972,1.3054,-1.6035,-0.40069,-1.5195
-0.58906,-0.44845,-1.8714,1.2534,-1.5984,-0.40184,-1.5115
-0.59258,-0.45951,-1.8456,1.1937,-1.5943,-0.40283,-1.5035
-0.59601,-0.45605,-1.8226,1.1233,-1.587,-0.40366,-1.4954
-0.59939,-0.11092,-1.8012,1.0472,-1.5787,-0.40432,-1.4874
-0.6028,-0.10145,-1.7801,0.96873,-1.5704,-0.40481,-1.4794
-0.60621,0.27592,-1.76,0.88946,-1.5617,-0.40514,-1.4714
-0.60958,0.28046,-1.7415,0.81486,-1.5528,-0.40531,-1.4633
-0.61297,0.26189,-1.7249,0.74542,-1.544,-0.40532,-1.4553
-0.61633,0.28246,-1.7072,0.67418,-1.5348,-0.40517,-1.4473
-0.61971,0.25657,-1.6897,0.6159,-1.5256,-0.40485,-1.4393
-0.62329,0.62336,-1.6852,0.56498,-1.519,-0.40438,-1.4313
-0.62693,0.60647,-1.6828,0.54912,-1.5125,-0.40375,-1.4233
-0.63063,0.66201,-1.6687,0.57136,-1.5045,-0.40296,-1.4153
-0.63435,0.63788,-1.6472,0.6142,-1.4954,-0.40202,-1.4073
-0.63797,0.60949,-1.625,0.64502,-1.4827,-0.40092,-1.3993
-0.64156,0.61929,-1.6012,0.67438,-1.4686,-0.39966,-1.3913
-0.64514,0.24977,-1.5822,0.69966,-1.4539,-0.39825,-1.3833
-0.6487,0.26496,-1.5628,0.72225,-1.4391,-0.39669,-1.3753
-0.65239,0.22101,-1.544,0.7363,-1.4273,-0.39497,-1.3673
-0.6561,0.25918,-1.5252,0.74503,-1.4167,-0.3931,-1.3593
-0.65973,0.26,-1.4871,0.76372,-1.406,-0.39109,-1.3513
-0.66332,0.61251,-1.4498,0.77952,-1.3955,-0.38892,-1.3433
-0.66699,0.64686,-1.4232,0.77959,-1.3857,-0.3866,-1.3354
-0.67058,0.61679,-1.4016,0.76775,-1.3758,-0.38414,-1.3274
